Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
200989480,アオのハコ 13 [Ao no Hako 13],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088837908""","=""9784088837901""",5,4.26,集英社,Paperback,192,2023,2023,2023/12/23,2023/12/22,,,read,,,,1,0
58584958,The Most Heretical Last Boss Queen: From Villainess to Savior (Manga) Vol. 1,Bunko Matsuura,"Matsuura, Bunko","Tenichi, Suzunosuke","=""1648278434""","=""9781648278433""",5,4.25,Seven Seas,Paperback,184,2022,2020,2023/12/23,2023/12/23,,,read,,,,2,0
123001557,アオのハコ 10 [Ao no Hako 10],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088835395""","=""9784088835396""",5,4.06,集英社,Paperback,208,2023,2023,2023/12/22,2023/12/22,,,read,,,,1,0
179421721,アオのハコ 11 [Ao no Hako 11],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088835913""","=""9784088835914""",5,4.26,集英社,Paperback,192,2023,2023,2023/12/22,2023/12/22,,,read,,,,1,0
198827121,アオのハコ 12 [Ao no Hako 12],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088836901""","=""9784088836904""",5,4.32,集英社,Paperback,192,2023,2023,2023/12/22,2023/12/22,,,read,,,,1,0
63307720,アオのハコ 9 [Ao no Hako 9],Kouji Miura,"Miura, Kouji",三浦糀,"=""408883433X""","=""9784088834337""",5,4.14,集英社,Paperback,208,2023,2023,2023/12/22,2023/12/19,,,read,,,,1,0
58096842,"彼女が公爵邸に行った理由 5 (Why Raeliana Ended Up at the Duke's Mansion, Vol. 5)",Whale,"Whale, Whale",Milcha,"=""""","=""""",5,4.47,Piccomics,Kindle Edition,192,2021,,2023/12/22,2023/12/19,,,read,,,,2,0
59366029,"Kubo Won't Let Me Be Invisible, Vol. 1",Nene Yukimori,"Yukimori, Nene",,"=""1974729680""","=""9781974729685""",4,3.83,VIZ Media LLC,Paperback,176,2022,2020,2023/12/19,2023/12/19,,,read,,,,1,0
59366064,"Kubo Won't Let Me Be Invisible, Vol. 2",Nene Yukimori,"Yukimori, Nene",,"=""1974732150""","=""9781974732159""",3,4.10,VIZ Media LLC,Paperback,160,2022,2020,2023/12/19,2023/12/19,,,read,,,,1,0
56350283,"Kubo-san Doesn't Leave Me Be, Vol. 3",Nene Yukimori,"Yukimori, Nene",,"=""""","=""""",0,4.08,,,193,,2020,,2023/12/19,currently-reading,currently-reading (#3),currently-reading,,,,1,0
60433194,"Blue Box, Vol. 1",Kouji Miura,"Miura, Kouji",,"=""1974734625""","=""9781974734627""",4,4.01,VIZ Media LLC,Paperback,192,2022,2021,2023/12/19,2023/12/19,,,read,,,,1,0
58665854,アオのハコ 2 [Ao no Hako 2],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088827945""","=""9784088827940""",4,4.06,集英社,Paperback,192,2021,2021,2023/12/19,2023/12/19,,,read,,,,1,0
59109982,アオのハコ 3 [Ao no Hako 3],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088830075""","=""9784088830070""",4,4.12,集英社,Paperback,192,2022,2022,2023/12/19,2023/12/19,,,read,,,,1,0
62919648,"Blue Box, Vol. 4",Kouji Miura,"Miura, Kouji",,"=""1974736415""","=""9781974736416""",4,4.12,VIZ Media LLC,Paperback,192,2023,2022,2023/12/19,2023/12/19,,,read,,,,1,0
60502554,アオのハコ 5 [Ao no Hako 5],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088831497""","=""9784088831497""",4,4.19,集英社,Paperback,192,2022,2022,2023/12/19,2023/12/19,,,read,,,,1,0
61198906,アオのハコ 6 [Ao no Hako 6],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088831926""","=""9784088831923""",4,4.16,集英社,Paperback,192,2022,2021,2023/12/19,2023/12/19,,,read,,,,1,0
61415869,アオのハコ 7 [Ao no Hako 7],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088832590""","=""9784088832593""",4,4.20,集英社,Paperback,192,2022,2022,2023/12/19,2023/12/19,,,read,,,,1,0
62623078,アオのハコ 8 [Ao no Hako 8],Kouji Miura,"Miura, Kouji",三浦糀,"=""4088833899""","=""9784088833897""",4,4.04,集英社,Paperback,192,2022,2022,2023/12/19,2023/12/19,,,read,,,,1,0
33296312,The Art of Discarding: How to Get Rid of Clutter and Find Joy,Nagisa Tatsumi,"Tatsumi, Nagisa",,"=""0316558923""","=""9780316558921""",0,3.31,Hachette Books,Hardcover,176,2017,2000,,2023/12/19,to-read,to-read (#5),to-read,,,,0,0
123259381,Final Fantasy XIV: Eorzea Academy,Esora Amaichi,"Amaichi, Esora",FINAL FANTASY XIV Operations Team,"=""1646097130""","=""9781646097135""",0,4.34,Square Enix Manga,Kindle Edition,0,2023,,,2023/12/19,to-read,to-read (#4),to-read,,,,0,0
125078183,7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! (Manga) Vol. 4,Touko Amekawa,"Amekawa, Touko","Hinoki Kino, Wan Hachipisu","=""""","=""9798888430644""",0,4.38,Seven Seas,Paperback,184,2023,,,2023/12/19,to-read,to-read (#3),to-read,,,,0,0
61398896,"The Remarried Empress, Vol. 1",Alphatart,"Alphatart, Alphatart","Sumpul, Herelee","=""""","=""9798400900051""",0,4.38,Ize Press,Paperback,256,2022,2019,,2023/12/19,to-read,to-read (#2),to-read,,,,0,0
63340734,"남주의 첫날밤을 가져버렸다 1 (The First Night With the Duke, Vol. 1)",Hwang DoTol,"DoTol, Hwang","MSG, Teava","=""""","=""9791126907199""",0,4.22, 이코믹스,Paperback,296,2022,2022,,2023/12/19,to-read,to-read (#1),to-read,,,,0,0
52800465,Solo leveling - light Novel (Solo leveling Vol 1),Chugong,"Chugong, Chugong",,"=""""","=""""",3,4.38,Web Novel,ebook,400,,,2023/12/19,2023/12/19,,,read,,,,1,0
8343159,Replay: The History of Video Games,Tristan Donovan,"Donovan, Tristan",,"=""0956507204""","=""9780956507204""",4,4.04,Yellow Ant,Paperback,516,2010,2010,2023/12/19,2023/12/19,,,read,,,,1,0
63891445,Surviving to Drive,Guenther Steiner,"Steiner, Guenther",,"=""1787636283""","=""9781787636286""",4,4.15,Bantam Press,Paperback,304,2023,2023,2023/12/19,2023/12/19,,,read,,,,1,0
68571,The Ultimate History of Video Games: From Pong to Pokemon - The Story Behind the Craze That Touched Our Lives and Changed the World,Steven L. Kent,"Kent, Steven L.",,"=""0761536434""","=""9780761536437""",4,4.14,Crown,Paperback,608,2001,2001,2023/12/19,2023/12/19,,,read,,,,1,0
51728241,How To Be An F1 Driver: My Guide To Life In The Fast Lane,Jenson Button,"Button, Jenson",,"=""1788702638""","=""9781788702638""",4,3.99,Blink Publishing,Kindle Edition,360,2019,,2023/12/19,2023/12/19,,,read,,,,1,0
35657708,How To Build A Car,Adrian Newey,"Newey, Adrian",,"=""000819680X""","=""9780008196806""",4,4.47,HarperCollins,Hardcover,400,2019,2017,2023/12/19,2023/12/19,,,read,,,,1,0
6052977,"Go Like Hell: Ford, Ferrari, and Their Battle for Speed and Glory at Le Mans",A.J. Baime,"Baime, A.J.",,"=""0618822194""","=""9780618822195""",4,4.47,Houghton Mifflin Harcourt,Hardcover,304,2009,2009,2023/12/19,2023/12/19,,,read,,,,1,0
